Title,Date Published,Reviews,Author(s),Genre,Type,Format
Longitude: The True Story of a Lone Genius Who Solved the Greatest Scientific Problem of His Time, 2007,3337,Dava Sobel,Education & History,Fiction,Audio CD
Code Girls: The Untold Story of the American Women Code Breakers of World War II, 2018,3318,Liza Mundy,Education & History,Non Fiction,Hardcover
The Age of Surveillance Capitalism: The Fight for a Human Future at the New Frontier of Power, 2020,3297,Shoshana Zuboff,Education & History,Fiction,Paperback
The Uninhabitable Earth: A Story of the Future, 2019,3302,David Wallace-Wells,Education & History,Non Fiction,Audio CD
The Book of Five Rings, 2012,3221,Miyamoto Musashi,Education & History,Fiction,Hardcover
Stolen Focus: Why You Can't Pay Attention--and How to Think Deeply Again, 2022,3193,Johann Hari,Education & History,Non Fiction,Paperback
In the Heart of the Sea: The Tragedy of the Whaleship Essex, 2001,3188,Nathaniel Philbrick,Education & History,Fiction,Audio CD
Cozy White Cottage: 100 Ways to Love the Feeling of Being Home, 2019,3173,Liz Marie Galvan,Education & History,Non Fiction,Hardcover
Weapons of Math Destruction: How Big Data Increases Inequality and Threatens Democracy, 2016,3158,Cathy O'Neil,Education & History,Fiction,Paperback
Max the Miracle Dog: The Heart-warming Tale of a Life-saving Friendship, 2021,3164,Kerry Irving,Education & History,Non Fiction,Audio CD
Ten Arguments For Deleting Your Social Media Accounts Right Now, 2019,3183,Jaron Lanier,Education & History,Fiction,Hardcover
Unreported Truths About Covid-19 and Lockdowns: Part 4: Vaccines, 2021,3146,Alex Berenson,Education & History,Non Fiction,Paperback
The Omnivore's Dilemma: A Natural History of Four Meals, 2006,3712,Michael Pollan,Education & History,Fiction,Audio CD
Every Living Thing (G K Hall Large Print Book Series), 1992,3702,James Herriot,Education & History,Non Fiction,Hardcover
Inspired: How to Create Tech Products Customers Love (Silicon Valley Product Group), 2017,3699,Marty Cagan,Education & History,Fiction,Paperback
Island of the Lost: An Extraordinary Story of Survival at the Edge of the World, 2019,3657,Joan Druett,Education & History,Non Fiction,Audio CD
The Anarchist Cookbook, 2020,3679,William Powell,Education & History,Fiction,Hardcover
A Man and His Watch: Iconic Watches and Stories from the Men Who Wore Them, 2017,3631,Matt Hranek,Education & History,Non Fiction,Paperback
We Were Soldiers Once...and Young: Ia Drang - The Battle That Changed the War in Vietnam, 2004,3602,Harold G. Moore,Education & History,Fiction,Audio CD
Mushrooming without Fear: The Beginner's Guide to Collecting Safe and Delicious Mushrooms, 2007,3560,Alexander Schwab,Education & History,Non Fiction,Hardcover
"Trucks, Planes and Cars Coloring Book: Cars coloring book for kids & toddlers - activity books for preschooler - coloring book for Boys, Girls, Fun, Early Learning (Transportation Coloring Pages)", 2017,3562,Ann Rainbow Coloring books,Education & History,Fiction,Paperback
Meathead: The Science of Great Barbecue and Grilling, 2016,3575,Meathead Goldwyn,Education & History,Non Fiction,Audio CD
"Into the Abyss: An Extraordinary True Story by Shaben, Carol (2014) Paperback", 2014,3536,Carol Shaben,Education & History,Fiction,Hardcover
How to Speak Chicken: Why Your Chickens Do What They Do & Say What They Say, 2017,3504,Melissa Caughey,Education & History,Non Fiction,Paperback
"Erebus: One Ship, Two Epic Voyages, and the Greatest Naval Mystery of All Time", 2018,3488,Michael Palin,Education & History,Fiction,Audio CD
Perspective Made Easy (Dover Art Instruction), 1999,3487,Ernest R. Norling,Education & History,Non Fiction,Hardcover
"The Big Book of Kombucha: Brewing, Flavoring, and Enjoying the Health Benefits of Fermented Tea", 2016,3424,Hannah Crum,Education & History,Fiction,Paperback
Tales from the Farm by the Yorkshire Shepherdess, 2022,3401,Amanda Owen,Education & History,Non Fiction,Audio CD
How to Build a Car: The Autobiography of the World's Greatest Formula 1 Designer, 2019,4303,Adrian Newey,Education & History,Fiction,Hardcover
The Old Farmer's Almanac 2020, 2019,4321,Old Farmer’s Almanac,Education & History,Non Fiction,Paperback
"Good Night, Lightning (Disney/Pixar Cars)", 2013,4195,RH Disney,Education & History,Fiction,Audio CD
The Art Of War, 2017,4125,Sun Tzu,Education & History,Non Fiction,Hardcover
"ABC's For Future Race Car Drivers Alphabet Book (Baby Book, Children's Book, Toddler Book)", 2018,4086,Fast Kids Club,Education & History,Fiction,Paperback
The Lord God Made Them All (G K Hall Large Print Book Series), 1993,4037,James Herriot,Education & History,Non Fiction,Audio CD
Blood Rites, 2011,3952,Jim Butcher,Education & History,Fiction,Hardcover
Ten Lessons for a Post-Pandemic World, 2020,3907,Fareed Zakaria,Education & History,Non Fiction,Paperback
Thing Explainer: Complicated Stuff in Simple Words, 2015,3894,Randall Munroe,Education & History,Fiction,Audio CD
"Foundations of Flavor: The Noma Guide to Fermentation: Including In-Depth, Step-By-Step Information on Making and Using Koji, Kombuchas, Shoyus, Misos, Vinegars, Garums, Lacto-Ferments, and Black Fruits and Vegetables (Foundations of Flavor)", 2018,3889,René Redzepi,Education & History,Non Fiction,Hardcover
The Beginner's Guide to Raising Chickens: How to Raise a Happy Backyard Flock, 2021,3872,Anne Kuo,Education & History,Fiction,Paperback
The 33 Strategies of War (Joost Elffers Books), 2007,3808,Robert Greene,Education & History,Non Fiction,Audio CD
My Inventions: The Autobiography of Nikola Tesla, 2018,3799,Nikola Tesla,Education & History,Fiction,Hardcover
"An Astronaut's Guide to Life on Earth: What Going to Space Taught Me About Ingenuity, Determination, and Being Prepared for Anything", 2015,3796,Chris Hadfield,Education & History,Non Fiction,Paperback
"Mobile Solar Power Made Easy!: Mobile 12 volt off grid solar system design and installation. RV's, Vans, Cars and boats! Do-it-yourself step by step instructions.", 2017,3773,William Errol Prowse IV,Education & History,Fiction,Audio CD
Raised-Bed Gardening for Beginners: Everything You Need to Know to Start and Sustain a Thriving Garden, 2019,5722,Tammy Wylie,Education & History,Non Fiction,Hardcover
Baby University Board Book Set: A Science for Toddlers Board Book Set (Science Gifts for Kids) (Baby University Board Book Sets), 2017,5567,Chris Ferrie,Education & History,Fiction,Paperback
Hooked: How to Build Habit-Forming Products, 2014,5262,Nir Eyal,Education & History,Non Fiction,Audio CD
"The Forager's Harvest: A Guide to Identifying, Harvesting, and Preparing Edible Wild Plants", 2006,5217,Samuel Thayer,Education & History,Fiction,Hardcover
Sheep in a Jeep (board book), 2016,5083,Margot Apple,Education & History,Non Fiction,Paperback
"Barracoon: The Story of the Last ""Black Cargo""", 2020,5026,Zora Neale Hurston,Education & History,Fiction,Audio CD
A Long Way Gone: Memoirs of a Boy Soldier, 2007,4891,Ishmael Beah,Education & History,Non Fiction,Hardcover
Mini Farming: Self-Sufficiency on 1/4 Acre, 2010,4871,Brett L. Markham,Education & History,Fiction,Paperback
All On The Board: Inspirational quotes from the TfL underground duo, 2022,4778,All on the Board,Education & History,Non Fiction,Audio CD
Thunderstruck, 2007,4694,Erik Larson,Education & History,Fiction,Hardcover
Digital Minimalism: Choosing a Focused Life in a Noisy World, 2019,4600,Cal Newport,Education & History,Non Fiction,Paperback
The Backyard Homestead: Produce all the food you need on just a quarter acre!, 2009,4418,Carleen Madigan,Education & History,Fiction,Audio CD
500 Flash Cards of American Sign Language, 2009,4380,Geoffrey S. Poor,Education & History,Non Fiction,Hardcover
The Driving Book: Everything New Drivers Need to Know but Don't Know to Ask, 2015,9716,Karen Gravelle,Education & History,Fiction,Paperback
No Easy Day: The Only First-hand Account of the Navy Seal Mission that Killed Osama bin Laden, 2013,9713,Mark Owen,Education & History,Non Fiction,Audio CD
"Blowout: Corrupted Democracy, Rogue State Russia, and the Richest, Most Destructive Industry on Earth", 2021,8525,Rachel Maddow,Education & History,Fiction,Hardcover
Blacktop Wasteland: A Novel, 2020,7998,S. A. Cosby,Education & History,Non Fiction,Paperback
The Wright Brothers, 2016,8023,David McCullough,Education & History,Fiction,Audio CD
Long Range Shooting Handbook: The Complete Beginner's Guide to Precision Rifle Shooting, 2016,7924,Ryan M Cleckner,Education & History,Non Fiction,Hardcover
"Ugly’s Electrical References, 2020 Edition", 2019,7876,Charles R. Miller,Education & History,Fiction,Paperback
Midnight in Chernobyl: The Untold Story of the World's Greatest Nuclear Disaster, 2020,7693,Adam Higginbotham,Education & History,Non Fiction,Audio CD
Adventures of the Yorkshire Shepherdess, 2020,7191,Amanda Owen,Education & History,Fiction,Hardcover
Marijuana Horticulture: The Indoor/Outdoor Medical Grower's Bible, 2006,7143,Jorge Cervantes,Education & History,Non Fiction,Paperback
Hidden Figures: The American Dream and the Untold Story of the Black Women Mathematicians Who Helped Win the Space Race, 2016,6481,Margot Lee Shetterly,Education & History,Fiction,Audio CD
No Rules Rules: Netflix and the Culture of Reinvention, 2020,6476,Reed Hastings,Education & History,Non Fiction,Hardcover
Helmet for My Pillow: From Parris Island to the Pacific, 2010,6060,Robert Leckie,Education & History,Fiction,Paperback
The Soul of an Octopus: A Surprising Exploration into the Wonder of Consciousness, 2015,5971,Sy Montgomery,Education & History,Non Fiction,Audio CD
Predictably Irrational: The Hidden Forces That Shape Our Decisions, 2008,5866,Dan Ariely,Education & History,Fiction,Hardcover
